UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL1A,LEVEL1B,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,CALSYS,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,OPENADMP,VET1,VET2,VET3,VET4,VET5,VET9,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBRES1,LIBRES2,LIBRES3,LIBRES4,LIBRES5,LIBRES6,LIBRES9,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DSTNUGC,DSTNUGP,DSTNUGN,DSTNGC,DSTNGP,DSTNGN,DISTCRS,DISTPGS,DSTNCED1,DSTNCED2,DSTNCED3,DISTNCED,DISAB,DISABPCT,ALLONCAM,TUITVARY,ROOM,ROOMCAP,BOARD,MEALSWK,ROOMAMT,BOARDAMT,RMBRDAMT,APPLFEEU,APPLFEEG,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4
100858,0,1,1,0,0,0,1,2,0,-2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,9,2,1,1,4823,2,,8892,5704,,50,60,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
100937,0,1,0,0,0,0,4,-2,-2,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,1,2,2,-2,-2,2,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,-2,-2,-2,1,0,1,-2,0,2,2,9,2,2,1,1418,2,,7900,5650,,50,,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368
101028,1,1,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101116,0,1,0,0,0,0,2,-2,-2,-2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2,1,,2,2,2,,3,,,,,0,0,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101143,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101161,1,1,-2,0,1,0,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,586,1,15,,,5900,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101189,0,1,0,0,0,0,4,-2,-2,74,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,10,2,2,1,704,1,20,3900,4200,,25,75,1,0,1,0,0,0,0,1,315,1,334,1,334,2,-2
101240,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,110,1,15,,,4800,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101277,1,0,-2,0,0,0,2,-2,-2,-2,1,0,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,7,1,1,-2,2,2,-2,-2,-2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-2,-2,-2,-2,1,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,,2,-2,2,,3,,,,,0,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
101286,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101295,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,180,1,12,2800,2100,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101301,1,1,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101365,0,1,0,0,0,0,3,-2,-2,-2,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,2,,3,,,,,0,0,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101435,0,1,0,0,0,0,4,-2,-2,71,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,2,2,-2,-2,2,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2,1,,2,2,1,683,1,19,,,10046,0,0,1,1,0,0,0,0,0,1,171,1,171,1,171,1,171
101453,0,1,0,0,1,0,4,-2,-2,74,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,1,31,3,,4740,,,35,35,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101462,1,1,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101471,1,1,-2,0,1,1,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,,2,2,2,,3,,,,,0,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101480,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,5,2,1,1,2564,2,,3900,3300,,35,35,1,1,0,0,0,0,0,1,135,1,135,1,135,1,135
101505,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,0,0,2,0,0,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101514,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101569,1,1,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,156,1,17,3000,1760,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101587,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,1,1,1019,2,,4760,2834,,30,40,1,1,0,0,0,0,1,1,146,1,146,1,146,1,146
101602,1,1,-2,1,1,0,1,2,9,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,94,3,,4200,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101648,0,1,-2,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,-2,-2,2,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,1,1,1,500,1,21,,,4950,30,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101675,0,1,0,0,0,0,4,-2,-2,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,2,1,883,1,19,4182,3166,,0,,1,1,0,0,0,0,0,1,161,1,161,1,161,1,161
101693,1,1,0,0,0,0,4,-2,-2,75,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,1,684,1,19,5680,4480,,25,25,1,0,1,0,0,0,0,2,-2,1,334,1,334,1,334
101709,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,10,2,1,1,1337,2,,6596,3340,,35,35,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146
101736,1,1,-2,0,1,0,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101879,0,1,0,0,0,0,1,2,0,-2,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,7,2,1,1,2052,2,,3846,4120,,0,0,1,1,0,0,0,0,0,1,106,1,135,1,135,1,135
101897,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101912,0,1,0,0,0,0,4,-2,-2,95,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,8,2,2,1,1110,1,14,4692,5358,,0,100,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2
101994,1,0,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,,2,1,2,,3,,,,,0,,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
102030,1,1,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
102049,1,1,1,1,0,0,4,-2,-2,54,0,0,0,0,0,0,1,1,1,1,0,1,1,0,4,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,13,2,2,1,2375,2,,6150,5110,,40,35,1,1,0,0,0,0,0,1,131,1,131,1,131,1,131
102058,0,1,0,0,0,0,4,-2,-2,54,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102067,1,1,-2,1,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,2,,3,,,,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
102076,1,1,-2,0,1,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,1,1,87,1,10,2350,1685,,0,,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
102094,1,1,1,1,0,0,1,2,0,-2,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,5,2,1,1,3331,2,,4260,3890,,35,35,1,1,0,0,0,0,0,1,134,1,134,1,134,1,134
102234,0,1,1,0,0,0,4,-2,-2,30,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,6,2,2,1,1137,2,,6240,5200,,0,0,1,1,0,0,0,0,0,2,-2,1,161,1,161,1,161
102270,0,1,0,0,0,0,4,-2,-2,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,2,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,,2,2,1,416,1,19,5984,4070,,20,,1,0,1,0,0,0,0,2,-2,1,334,1,334,1,334
102298,0,1,0,0,0,0,4,-2,-2,76,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,1,,2,2,1,800,1,19,,,8934,25,75,1,0,1,0,0,0,0,2,-2,1,337,1,369,1,337
