SurveyOrder,Tablenumber,TableName,varNumber,varOrder,varName,Codevalue,Frequency,Percent,valueOrder,valueLabel,varTitle
90,95,"S2022_IS",53006,2,"FACSTAT","0",3590,5.60,0,"All full-time instructional staff","Faculty and tenure status"
90,95,"S2022_IS",53011,1,"ARANK","0",21088,32.90,0,"All ranks","Academic rank"
10,10,"HD2022",10016,7,"STABBR","AL",78,1.25,1,"Alabama","State abbreviation"
10,10,"HD2022",10026,11,"FIPS","1",78,1.25,1,"Alabama","FIPS state code"
10,10,"HD2022",10031,12,"OBEREG","0",7,0.11,1,"U.S. Service schools","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2022",10076,31,"OPEFLAG","1",5943,95.00,1,"Participates in Title IV federal financial aid programs","OPE Title IV eligibility indicator code"
10,10,"HD2022",10086,32,"SECTOR","0",71,1.13,1,"Administrative Unit","Sector of institution"
10,10,"HD2022",10091,33,"ICLEVEL","1",2868,45.84,1,"Four or more years","Level of institution"
10,10,"HD2022",10096,34,"CONTROL","1",2019,32.27,1,"Public","Control of institution"
10,10,"HD2022",10106,36,"UGOFFER","1",5942,94.98,1,"Undergraduate degree or certificate offering","Undergraduate offering"
10,10,"HD2022",10111,37,"GROFFER","1",2156,34.46,1,"Graduate degree or certificate offering","Graduate offering"
10,10,"HD2022",10126,39,"DEGGRANT","1",4184,66.88,1,"Degree-granting","Degree-granting status"
10,10,"HD2022",10151,42,"HBCU","1",101,1.61,1,"Yes","Historically Black College or University"
10,10,"HD2022",10156,41,"HOSPITAL","1",96,1.53,1,"Yes","Institution has hospital"
10,10,"HD2022",10161,40,"MEDICAL","1",207,3.31,1,"Yes","Institution grants a medical degree"
10,10,"HD2022",10166,43,"TRIBAL","1",35,0.56,1,"Yes","Tribal college"
10,10,"HD2022",10171,97,"CARNEGIE","15",152,2.43,1,"Doctoral/Research Universities--Extensive","Carnegie Classification 2000"
10,10,"HD2022",10176,51,"LOCALE","11",1471,23.51,1,"City: Large","Degree of urbanization (Urban-centric locale)"
