UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
100654,1547,1771,87,1417,0,0,1417,840,59,60,0,0,60,15,25,19
100663,2172,3477,62,2353,3,0,2350,1937,82,54,0,0,54,29,54,18
100690,,,,,,,,,,0,0,0,0,0,,12
100706,1154,1890,61,1191,0,0,1191,955,80,13,0,0,13,4,31,17
100724,938,1067,88,797,0,0,797,475,60,93,0,0,93,19,20,14
100751,7981,9538,84,7540,1,0,7539,6535,87,53,0,0,53,32,60,19
100760,270,917,29,219,0,0,219,136,62,74,0,0,74,26,35,16
100812,,,,,,,,,,,,,,,,14
100830,384,794,48,517,1,0,516,362,70,22,0,0,22,5,23,15
100858,5282,6466,82,5253,5,0,5248,4860,93,57,1,0,56,41,73,20
100937,244,271,90,244,0,0,244,189,77,,,,,,,10
101028,191,839,23,172,0,0,172,105,61,99,0,0,99,21,21,15
101116,13,87,15,6,0,0,6,1,17,4,0,0,4,0,0,13
101143,354,1013,35,340,0,0,340,213,63,76,0,0,76,35,46,17
101161,1191,3174,38,1047,0,0,1047,645,62,328,0,0,328,137,42,15
101189,206,627,33,209,0,0,209,132,63,6,0,0,6,2,33,13
101240,808,1919,42,625,0,0,625,407,65,206,0,0,206,85,41,17
101277,,,,39,0,0,39,22,56,,,,,,,7
101286,494,1454,34,514,0,0,514,333,65,285,0,0,285,129,45,14
101295,947,3166,30,961,0,0,961,636,66,319,0,0,319,157,49,19
101301,238,1018,23,219,0,0,219,125,57,50,0,0,50,24,48,15
101365,15,141,11,2,0,0,2,1,50,2,0,0,2,1,50,14
101435,258,297,87,250,0,0,250,162,65,0,0,0,0,0,,14
101453,3,21,14,3,0,0,3,3,100,0,0,0,0,0,,8
101462,68,500,14,57,0,0,57,27,47,52,0,0,52,12,23,12
101471,392,532,74,178,0,0,178,116,65,67,0,0,67,35,52,11
101480,1911,3203,60,1782,0,0,1782,1170,66,36,0,0,36,10,28,19
101505,770,4088,19,854,0,0,854,518,61,599,0,0,599,228,38,18
101514,997,3199,31,886,0,0,886,570,64,738,0,0,738,316,43,20
101569,422,1276,33,426,0,0,426,257,60,244,0,0,244,77,32,16
101587,300,790,38,301,0,0,301,208,69,3,0,1,4,1,25,18
101602,369,1287,29,383,0,0,383,244,64,47,0,0,47,20,43,16
101648,195,212,92,179,0,0,179,73,41,,,,,,,11
101675,296,414,71,380,0,0,380,218,57,4,0,0,4,2,50,14
101693,272,655,42,250,0,0,250,170,68,3,0,0,3,3,100,14
101709,540,709,76,478,0,0,478,350,73,15,0,0,15,4,27,12
101736,440,2189,20,408,0,0,408,261,64,183,0,0,183,82,45,16
101879,1106,3297,34,985,0,0,985,752,76,28,0,0,28,8,29,18
101897,430,1127,38,352,0,0,352,256,73,98,0,0,98,57,58,17
101912,374,454,82,279,0,0,279,215,77,4,0,0,4,2,50,11
101994,75,231,32,73,0,0,73,53,73,5,0,0,5,2,40,14
102030,410,1462,28,342,0,0,342,209,61,132,0,0,132,44,33,18
102049,972,1065,91,918,0,0,918,835,91,2,0,0,2,1,50,14
102058,,,,0,0,0,0,0,,3,0,0,3,2,67,4
102067,735,1911,38,663,0,0,663,413,62,232,0,0,232,79,34,17
102076,502,1508,33,488,0,0,488,310,64,70,0,0,70,21,30,21
102094,1599,2529,63,1749,0,0,1749,1203,69,24,0,0,24,7,29,16
102234,225,282,80,215,0,0,215,174,81,1,0,0,1,0,0,12
102270,123,220,56,109,0,0,109,69,63,4,0,0,4,4,100,15
102298,113,172,66,216,0,0,216,164,76,9,0,0,9,9,100,22
102313,264,868,30,259,0,0,259,149,58,130,0,0,130,46,35,17
